,Color
0,red
1,blue
2,blue
3,blue
4,red
5,red
6,blue
7,blue
8,blue
9,blue
10,blue
11,red
12,blue
13,red
14,blue
15,blue
16,red
17,green
18,blue
19,red
20,red
21,red
22,blue
23,green
24,red
25,blue
26,blue
27,red
28,red
29,green
30,blue
31,green
32,red
33,red
34,green
35,red
36,red
37,red
38,blue
39,blue
40,blue
41,blue
42,blue
43,blue
44,blue
45,blue
46,red
47,red
48,green
49,red
50,red
51,red
52,red
53,green
54,red
55,blue
56,blue
57,blue
58,blue
59,blue
60,green
61,red
62,red
63,red
64,red
65,red
66,red
67,blue
68,blue
69,blue
70,red
71,blue
72,red
73,red
74,blue
75,red
76,blue
77,red
78,red
79,blue
80,blue
81,green
82,green
83,red
84,blue
85,blue
86,red
87,red
88,red
89,red
90,red
91,green
92,blue
93,blue
94,green
95,red
96,red
97,blue
98,blue
99,blue
100,red
101,blue
102,red
103,red
104,red
105,green
106,blue
107,blue
108,red
109,red
110,blue
111,red
112,red
113,blue
114,blue
115,red
116,red
117,red
118,red
119,blue
120,red
121,red
122,red
123,red
124,red
125,red
126,blue
127,red
128,red
129,blue
130,green
131,red
132,green
133,red
134,blue
135,red
136,red
137,green
138,green
139,green
140,green
141,red
142,blue
143,blue
144,blue
145,blue
146,green
147,red
148,blue
149,red
150,red
151,blue
152,red
153,blue
154,blue
155,red
156,blue
157,blue
158,red
159,green
160,green
161,blue
162,blue
163,blue
164,red
165,red
166,red
167,red
168,red
169,blue
170,red
171,blue
172,blue
173,red
174,red
175,red
176,red
177,green
178,blue
179,blue
180,red
181,blue
182,red
183,red
184,blue
185,blue
186,red
187,blue
188,red
189,green
190,red
191,red
192,blue
193,red
194,red
195,blue
196,red
197,red
198,red
199,red
200,blue
201,green
202,blue
203,blue
204,blue
205,green
206,blue
207,blue
208,green
209,blue
210,blue
211,blue
212,blue
213,blue
214,blue
215,blue
216,blue
217,blue
218,blue
219,blue
220,red
221,blue
222,blue
223,blue
224,blue
225,blue
226,blue
227,blue
228,red
229,blue
230,blue
231,blue
232,blue
233,blue
234,blue
235,blue
236,blue
237,green
238,blue
239,red
240,red
241,blue
242,red
243,green
244,blue
245,blue
246,blue
247,green
248,red
249,blue
250,blue
251,blue
252,blue
253,blue
254,blue
255,red
256,red
257,green
258,red
259,red
260,blue
261,blue
262,blue
263,blue
264,blue
265,blue
266,blue
267,blue
268,blue
269,blue
270,red
271,red
272,red
273,green
274,red
275,blue
276,red
277,red
278,red
279,green
280,red
281,green
282,blue
283,red
284,blue
285,blue
286,red
287,blue
288,red
289,blue
290,red
291,green
292,blue
293,red
294,blue
295,red
296,red
297,blue
298,red
299,red
300,red
301,red
302,red
303,blue
304,red
305,red
306,red
307,blue
308,blue
309,green
310,green
311,blue
312,red
313,red
314,blue
315,green
316,red
317,red
318,blue
319,red
320,blue
321,blue
322,blue
323,blue
324,blue
325,red
326,red
327,green
328,green
329,green
330,green
331,green
332,red
333,green
334,green
335,green
336,green
337,red
338,green
339,green
340,green
341,green
342,green
343,blue
344,green
345,blue
346,green
347,green
348,green
349,green
350,green
351,blue
352,green
353,green
354,blue
355,blue
356,green
357,red
358,green
359,green
360,green
361,green
362,green
363,green
364,blue
365,red
366,green
367,green
368,green
369,blue
370,green
371,green
372,red
373,green
374,green
375,green
376,green
377,green
378,green
379,green
380,green
381,green
382,green
383,green
384,green
385,green
386,green
387,green
388,green
389,red
390,green
391,green
392,green
393,green
394,green
395,green
396,green
397,green
398,green
399,green
400,green
401,green
402,green
403,red
404,green
405,green
406,red
407,green
408,green
409,green
410,green
411,blue
412,green
413,green
414,green
415,red
416,red
417,green
418,red
419,green
420,green
421,green
422,green
423,green
424,blue
425,green
426,green
427,green
428,green
429,blue
430,green
431,green
432,green
433,blue
434,blue
435,green
436,green
437,red
438,red
439,green
440,green
441,green
442,green
443,red
444,green
445,green
446,green
447,green
448,green
449,green
450,green
451,green
452,blue
453,green
454,green
455,blue
456,green
457,green
458,green
459,red
460,green
461,green
462,red
463,green
464,green
465,blue
466,blue
467,green
468,green
469,green
470,green
471,green
472,green
473,green
474,red
475,green
476,green
477,blue
478,green
479,green
480,red
481,blue
482,green
483,green
484,green
485,green
486,green
487,green
488,green
489,green
490,green
491,green
492,green
493,red
494,green
495,green
496,red
497,green
498,green
499,green
